fdi,point,state,x,y,z
48,0,predicted,-19.176923751831055,6.219606399536133,9.961539268493652
48,1,predicted,-17.66313362121582,9.217187881469727,6.361464023590088
47,0,predicted,-19.431066513061523,3.846219062805176,9.711578369140625
47,1,predicted,-18.170148849487305,3.6607275009155273,7.39508581161499
46,0,predicted,-18.317583084106445,1.5517997741699219,9.370800018310547
46,1,predicted,-19.14581871032715,5.4705047607421875,7.026641368865967
45,0,observed,-24.13406753540039,4.528853416442871,4.256387233734131
45,1,observed,-24.167247772216797,2.780747652053833,6.688901424407959
44,0,observed,-15.526613235473633,-2.7553606033325195,6.325006484985352
44,1,observed,-14.451915740966797,-5.096950531005859,8.048478126525879
43,0,observed,-14.42502212524414,-15.492280960083008,13.845295906066895
43,1,observed,-15.938115119934082,-9.748283386230469,11.531816482543945
42,0,observed,-7.393341541290283,-18.776338577270508,16.283267974853516
42,1,observed,-11.984055519104004,-15.170132637023926,15.49382495880127
41,0,observed,-2.185295343399048,-16.69356346130371,17.87850570678711
41,1,observed,-5.926022052764893,-19.26340103149414,17.929502487182617
31,0,observed,-0.7495483160018921,-16.952404022216797,17.778099060058594
31,1,observed,3.3792788982391357,-19.038101196289062,18.118783950805664
32,0,observed,4.857980728149414,-17.446502685546875,16.395721435546875
32,1,observed,10.506583213806152,-16.37897300720215,15.344339370727539
33,0,observed,11.765772819519043,-14.951666831970215,15.148078918457031
33,1,observed,14.242729187011719,-10.169943809509277,13.138566970825195
34,0,observed,12.391945838928223,-5.113080024719238,8.55602741241455
34,1,observed,16.03892707824707,-5.9019694328308105,11.423832893371582
35,0,predicted,14.121410369873047,-1.9205975532531738,10.837934494018555
35,1,predicted,14.884536743164062,-5.65055513381958,10.790938377380371
36,0,observed,21.212387084960938,5.5668110847473145,6.934918403625488
36,1,observed,18.346548080444336,3.566128969192505,7.404331684112549
37,0,predicted,15.17525863647461,8.668134689331055,10.275080680847168
37,1,predicted,18.018171310424805,3.698741912841797,9.242926597595215
38,0,predicted,4.769244194030762,5.3892822265625,12.409427642822266
38,1,predicted,9.438276290893555,6.02155876159668,9.041643142700195
