fdi,point,state,x,y,z
18,0,predicted,18.12051010131836,18.101255416870117,9.27063274383545
18,1,predicted,17.334192276000977,24.243907928466797,9.433332443237305
17,0,predicted,22.066055297851562,13.863676071166992,8.194725036621094
17,1,predicted,23.139524459838867,20.262489318847656,5.480402946472168
16,0,observed,22.642099380493164,2.2012100219726562,12.557000160217285
16,1,observed,25.253599166870117,9.344269752502441,9.31686019897461
15,0,predicted,20.183889389038086,-3.4124884605407715,11.511119842529297
15,1,predicted,21.651384353637695,2.6349239349365234,10.737881660461426
14,0,observed,14.36620044708252,-11.582500457763672,14.100099563598633
14,1,observed,16.996200561523438,-7.06043004989624,14.168999671936035
13,0,predicted,13.820443153381348,-16.548486709594727,11.694479942321777
13,1,predicted,15.438498497009277,-13.736456871032715,11.227654457092285
12,0,predicted,9.423089027404785,-20.870065689086914,12.24787712097168
12,1,predicted,11.308005332946777,-18.962570190429688,12.416457176208496
11,0,observed,-0.13152003288269043,-20.4377498626709,13.533149719238281
11,1,observed,3.149744987487793,-20.147300720214844,13.939149856567383
21,0,observed,-4.571314811706543,-20.623050689697266,12.642749786376953
21,1,observed,-8.133649826049805,-20.108348846435547,12.242450714111328
22,0,predicted,-7.336747646331787,-22.75627899169922,12.343168258666992
22,1,predicted,-9.390619277954102,-20.879907608032227,12.058412551879883
23,0,predicted,-11.236854553222656,-19.093246459960938,11.22792911529541
23,1,predicted,-12.794742584228516,-16.10745620727539,11.500632286071777
24,0,predicted,-15.108806610107422,-13.373481750488281,11.802363395690918
24,1,predicted,-15.885513305664062,-7.428003787994385,11.928966522216797
25,0,predicted,-17.032873153686523,-6.472087383270264,11.902800559997559
25,1,predicted,-18.44049072265625,0.7119045257568359,11.065869331359863
26,0,observed,-28.712799072265625,2.6213700771331787,6.5135698318481445
26,1,observed,-31.204700469970703,9.144519805908203,4.333240032196045
27,0,predicted,-20.62295913696289,8.449026107788086,9.345439910888672
27,1,predicted,-21.550596237182617,17.514732360839844,5.92805290222168
28,0,predicted,-18.042081832885742,15.176828384399414,10.0294189453125
28,1,predicted,-19.553133010864258,23.69576644897461,6.353349208831787
