fdi,point,state,x,y,z
48,0,observed,-26.90489959716797,21.265350341796875,7.900889873504639
48,1,observed,-28.571849822998047,26.03059959411621,8.990315437316895
47,0,observed,-25.827510833740234,10.141700744628906,6.103940010070801
47,1,observed,-26.54208755493164,14.1697998046875,6.507550239562988
46,0,predicted,-20.47538185119629,6.044639587402344,5.663422584533691
46,1,predicted,-20.73703384399414,8.137369155883789,5.427783966064453
45,0,observed,-22.180700302124023,-0.450358510017395,8.020025253295898
45,1,observed,-18.843050003051758,1.419010043144226,7.293125152587891
44,0,predicted,-15.548452377319336,-4.260122299194336,8.066789627075195
44,1,predicted,-15.548860549926758,-2.7151436805725098,6.846424579620361
43,0,observed,-10.666250228881836,-11.358400344848633,8.397809982299805
43,1,observed,-15.686949729919434,-8.363189697265625,7.311140060424805
42,0,observed,-4.956500053405762,-13.041099548339844,10.78285026550293
42,1,observed,-10.317449569702148,-11.326800346374512,8.942819595336914
41,0,observed,-4.449844837188721,-14.094849586486816,9.695079803466797
41,1,observed,-4.06689977645874,-13.751500129699707,10.420649528503418
31,0,observed,-1.8918249607086182,-13.212349891662598,10.33804988861084
31,1,observed,3.317430019378662,-14.952150344848633,10.378020286560059
32,0,observed,4.136769771575928,-14.692500114440918,9.862054824829102
32,1,observed,8.184954643249512,-16.4424991607666,9.435150146484375
33,0,observed,9.291640281677246,-15.198450088500977,8.101075172424316
33,1,observed,14.254799842834473,-12.505900382995605,7.0911102294921875
34,0,observed,16.224075317382812,-12.896538734436035,8.442384719848633
34,1,observed,18.438125610351562,-10.683161735534668,7.6864752769470215
35,0,predicted,18.54399871826172,-1.630731225013733,6.520036697387695
35,1,predicted,19.71847152709961,-3.4696340560913086,6.894449710845947
36,0,observed,25.49519920349121,2.0360898971557617,7.409365177154541
36,1,observed,22.799400329589844,6.482544898986816,5.809410095214844
37,0,observed,28.59819984436035,13.844300270080566,9.939385414123535
37,1,observed,27.06985092163086,10.579899787902832,9.255419731140137
38,0,predicted,18.86463165283203,13.36169147491455,7.817324638366699
38,1,predicted,25.351835250854492,16.304458618164062,7.479989528656006
